skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Holy Shock	118	pal	holy shock		66																		42883	holyshock			ln12																						lightmindam	(blvl==20)?100:1	lightmaxdam	exms*par5/256																																																																											1	4		none														xx																														24	20								1						0	1					0	8	0	0	1	1	1		(100*((blvl==20)?25:50))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			6	Radius baseline	1	Radius per level					3	Damage multiplier added to Attacks	150	"Area Damage % Range Scaling (from 100% to X% damage, based on how close the enemy position is to the caster)"	4	Damage synergy	12	Damage synergy									1				16385				8															ltng	1						5	3	4	8	10	12	((skill('Vengeance'.blvl)*par8+skill('Pass Favour'.blvl)*par7)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Faithful Follower	119	pal	faithful follower		56																			palstate				tohit	((lvl*par2)*((100+stat('sum_cr'.accr))))/100	strength	(lvl*10)+stat('strength'.accr)/10	dexterity	(lvl*10)+stat('dexterity'.accr)/10	velocitypercent	((blvl==20)?30:0)+stat('sum_speed'.accr)	skill_armor_percent	(lvl*par3)+stat('sum_cr'.accr)	attackrate	((blvl==20)?30:0)+stat('sum_speed'.accr)										fireresist	dm34	coldresist	dm34	lightresist	dm34	poisonresist	dm34	magicresist	lvl*2																			faithfulfollower	faithfulfollower	1	NU												handofgod																																			1	0		none												SC	SC	SC					4																									12	20								1						1	1					1	8	25	1	1	1										(lvl*par1)+stat('sum_hp_perc'.accr)	HP % Modifier											15	HP % per level	40	Attack Rating % per level	5	Resistance % Min	90	Resistance % Max																	1								8																																				5	20	0
Focused Percision	120	pal	focused percision		25																			palmajor		ln12*(100+(stat('buff_length_modifier'.accr)))/100		item_tohit_percent	toht	item_fasterattackrate	ln34	damagepercent	(-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)/((blvl==10)?2:1))+(stat('ex_attacks'.accr)*10)																																																													sorceress_enchant																				enchantfire													1	4		none												SC	SC	xx												1	1							1			1							6	10								1				(100*(ln12+150))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	7	20	1	1	1																						500	Buff Duration baseline	25	Buff Duration per level	3	Attack Speed Boost	2	Attack Speed Per level	10	Damage Peanalty Min	85	Damage Penalty Max													1			20+(lvl*15)+((blvl==10)?150:0)					8																																				5	20	0
Fist of the Heavens	121	pal	fist of the heavens		80													fistoftheheavensdelayx				handofgod	42371				20																																																																		1	paladin_handofgod_cast															36						fistoftheheavensdelayx												1	7		none												SC	SC	xx					4			1							1					1			4							24	20								1				(stat('Celestial_Aid'.accr)>=1)?0:((100*20)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	25	0	1	1										ln34	Heal Min value	ln56	Heal Max value			((blvl==20)?par2:par1)+min(stat('ex_missiles'.accr),5)	# of Holy Bolt missiles created					5	# of Holy Bolt Missiles created baseline/4	10	# of Holy Bolt Missiles created per 4 levels	10	Min HP Healed baseline	4	Min HP Healed per level	20	Max HP Healed baseline	4	Max HP Healed per level			7	Damage synergy									1					140	144		8	64														mag	15	7	12	17	22	27	25	7	12	17	22	27	(((stat('Celestial_Aid'.accr)>=1)?200:0)+(skill('Judge Not'.blvl)*par8)+stat('hsbonus'.accr)+stat(357.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Fanaticism	122	pal	fanaticism		65																		73731	fanaticism	fanaticism		ln12	attackrate	((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3	item_tohit_percent	toht	damagepercent	ln56+(stat('ex_attacks'.accr)*10)																skill_concentration	(blvl==20)?15:0																																																																												1	1	8		none														S1																														18	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			11	Radius baseline	1	Radius per level	10	Attack Speed % Min	60	Attack Speed % Max	30	Damage % baseline	5	Damage % per level													1	50	10						8																																				5	20	0
Conviction	123	pal	conviction		66																		42371	conviction	conviction		min(ln12,25)	item_armor_percent	-dm34	fireresist	-((blvl==20)?(dm34*2):(dm34))	coldresist	-((blvl==20)?(dm34*2):(dm34))	lightresist	-((blvl==20)?(dm34*2):(dm34))	poisonresist	-((blvl==20)?(dm34*2):(dm34))	magicresist	-((blvl==20)?(dm34*2):(dm34))										attackrate	dm78	item_fastercastrate	dm78	item_fastergethitrate	(blvl==20)?24:0																																																																									1	6		none		mele												xx	5		1																											30	20								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			8	Radius baseline	1	Radius per level	15	Resistance % reduction min	85	Resistance % reduction max	30	Armor % reduction Min	85	Armor % reduction Max	10	IAS Min	40	IAS Max									1								8																																				5	20	0
Pass Favour	124	pal	pass favour		25																			palmajor		(ln12+((blvl==20)?750:0))*(100+(stat('buff_length_modifier'.accr)))/100		firemindam	(stat('salvationcheck'.accr)==1)?0:enma+(stat('fireresist'.accr)*lvl/40)	firemaxdam	(stat('salvationcheck'.accr)==1)?0:exma+(stat('fireresist'.accr)*lvl/40)	coldmindam	(stat('salvationcheck'.accr)==1)?0:enma+(stat('coldresist'.accr)*lvl/40)	coldmaxdam	(stat('salvationcheck'.accr)==1)?0:exma+(stat('coldresist'.accr)*lvl/40)	lightmindam	(stat('salvationcheck'.accr)==1)?0:1	lightmaxdam	(stat('salvationcheck'.accr)==1)?0:exma+(stat('lightresist'.accr)*blvl/20)																																																							sorceress_enchant																				enchantfire													1	4		none												SC	SC	xx												1	1							1			1							24	20								1				(100*150)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	20	1	1	1																						500	Buff Duration baseline	25	Buff Duration per level	3	Attack Speed Boost	2	Attack Speed Per level	10	Damage Peanalty Min	85	Damage Penalty Max													1	20	15						8																6	2	2	2	3	8	10	3	3	3											5	20	0
Salvation	125	pal	salvation		65																		73731	resistall	resistall		ln12	fireresist	((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3	coldresist	((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3	lightresist	((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3	poisonresist	((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3	item_poisonlengthresist	(blvl==10)?50:0	salvationcheck	1										item_absorbfire_percent	(blvl==10)?5:0	item_absorblight_percent	(blvl==10)?5:0	item_absorbmagic_percent	(blvl==10)?5:0	item_absorbcold_percent	(blvl==10)?5:0																																																																						1	1	8		none														xx																														18	10								1						0	1					0	8	0	0	1	1	1		(100*50)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))																			16	Radius baseline	2	Radius per level	20	Resistance % Min	70	Resistance % Max																	1								8																																				5	20	0
Bash	126	bar	bash	32	2										bashsplash																																																																																barbarian_grunt_small_1	1																		bashsplash													1	7		h2h		mele										A1	A1	xx				1		1	1								1															1	20								1						1	1					1	8	2	0	1	1										(ln12+skill('Frenzy'.blvl)*par8)+(stat('ex_attacks'.accr)*10)	Damage %	0	Flat Damage	(blvl==20)?40:0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					50	Damage % baseline	5	Damage % per level	0	Flat Damage baseline	0	Flat Damage per level					5	Attack Rating synergy	5	Damage synergy									1			15+lvl*5+skill('Concentrate'.blvl)*par7	1		112		8	128														stun														25	10	10	10				5	20	0
Master at Arms	127	bar	master at arms																																											swordmastery	mele		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	ln34	passive_mastery_melee_crit	dm56	skill_concentration	(blvl==20)?10:0																																																																							1	0		none		mele			thro	jave						SC	SC	xx				1																										1	20								1						0	0					0	8	0	0	1	0	1						1															28	Attack Rating % baseline	8	Attack Rating % per level	28	Damage % baseline	5	Damage % per level	0	% chance for Critical Hit Min	35	% chance for Critical Hit Max													1								8																																				5	20	0
Rend	128	bar	rend	32	2																	bloodlust_state			rend	ln12*(100+(stat('buff_length_modifier'.accr)))/100		damageresist	((110 * (lvl-1)) * (par4 - par3)) / (100 * (lvl + 6)) + par3	hpregen	"-(((110 * (lvl-1)) * (par6 - par5)) / (100 * (lvl + 6)) + par5)"																																																																barbarian_grunt_small_1	1																															1	0		h2h		mele										A1	A1	xx				1		1	1								1															6	20								1				(100*ln12)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	2	0		1										ln78+(stat('ex_attacks'.accr)*10)	Damage %	(blvl==20)?30:0	Flat Damage	0	Attack Speed %	0	% Damage Dealt as Elemental (Used only if there is an Etype)					50	Duration Baseline	10	Duration Per Level	-5	Damage Resist baseline	-30	Damage Resist Max	2	Life Drain Min	15	Life Drain Max	50	Damage Baseline	10	Damage synergy									1	60	10						8	64																																			5	20	0
Fan Out	129	bar	fan out		8													fanaxe																																																																																											17						fanaxe												1	7	1	rng		thro	fthr									TH	TH	xx				1																										6	20								1						1	1					1	5	8	1	1	1										((lvl<5)?3:((lvl<10)?5:7))+((skill('Throwing Mastery'.blvl)==20)?2:0)+stat('ex_missiles'.accr)	# of Missiles created	par3	Missile Activation Frame	((lvl<5)?3:((lvl<10)?5:7))+((skill('Throwing Mastery'.blvl)==20)?2:0)+stat('ex_missiles'.accr)	# of missiles that can trigger item modifier events	(blvl==20)?100:0	Extra Damage Added									1	Missile Activation Frame							10	Nat Res AR Bonus	8	Fire Dmg Synergy									1	30	15	30+15*lvl+skill('Natural Resistance'.blvl)*par7					8	128														fire	4	4	8	12	16	20	8	4	10	12	18	22	(((skill('Battle Tested'.blvl)+skill('Exoskeleton'.blvl)+skill('Combat Efficiency'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Razor Sharp	130	bar	razor sharp		18										razoraxe									fanaticism		15		item_openwounds	ln12	item_pierce	(lvl<5)?0:((lvl<10)?10:((lvl<20)?15:25))	damagepercent	(ln34+skill('Natural Resistance'.blvl)*par8+((blvl==20)?75:0))+(stat('ex_attacks'.accr)*10)																																																																																	razoraxe													1	5	1	rng		thro										TH	TH	xx				1																										1	20								1						1	1					1	8	4	0	1	1										(stat(12.accr)<16)?(9*stat(12.accr)+31):((stat(12.accr)<31)?(18*stat(12.accr)-104):((stat(12.accr)<46)?(27*stat(12.accr)-347):((stat(12.accr)<61)?(36*stat(12.accr)-779):(45*stat(12.accr)-1319))))		clc1*200/256										3	Open Wounds base	1	Open Wounds per level	50	Damage Percent Basline/2	15	Damage Per 2 Levels					20	Grim Ward AR Bonus	10	Fire Dmg Synergy									1	60	10	60+lvl*10+skill('Grim Ward'.blvl)*par7					8	128														fire	6	6	9	12	16	22	10	5	10	13	20	22	(((skill('Fan Out'.blvl)+skill('Exoskeleton'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Incinerating Bombardment	131	bar	incinerating bombardment		18										inciniaxe									incibomb		(15+blvl/2)*(100+(stat('buff_length_modifier'.accr)))/100		item_fasterattackrate	50																																																																																					inciniaxe													1	6	1	rng		thro										TH	TH	xx				1																										18	20								1						1	1					1	7	12	1	1	1										(blvl<20)?par1:par2	Radius of Disc of Missiles	(blvl<10)?par3:par4	Explosion Damage Radius									1	Radius of Disc of Missiles	2	Max Disc Radius	1	Explosion Damage Radius	2	Max Explosion radius					10	Attack Rating Synergy	6	Damage synergy									1	30	9	30+lvl*9+skill('Grim Ward'.blvl)*par7					8	128														fire	12	9	15	26	36	38	23	9	17	30	36	38	(((skill('Combat Efficiency'.blvl)+skill('Natural Resistance'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Leap Attack	132	bar	leap attack	41	78													leapattack				bash																																																																							1		barbarian_leapattack_1													30	44						leapattack												1	6		none		mele										SQ	A1	xx	14		1		4	1											1													18	20								1				(100*150)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	10	0	1	1										ln34+(stat('ex_attacks'.accr)*10)	Damage %	par7+((blvl==20)?75:0)	Leap Speed %			10	% Damage Dealt as Elemental									100	Damage % baseline	25	Damage % per level	12	Minimum Airborn Frames			125	Leap Speed %	10	Damage synergy									1	100	20						8	128													((skill('Berserk'.blvl)*par8)*(100+(stat('ex_attacks'.accr)*4))/100)	mag	10	4	8	12	16	20	20	8	16	24	32	40	((skill('Berserk'.blvl)*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Madawc's Conscience	133	bar	madawc's conscience		116																			madawc		((blvl==20)?(7500+ln12):(ln12))*(100+(stat('buff_length_modifier'.accr)))/100		damagepercent	(ln34+((blvl==20)?200:0))+(stat('ex_attacks'.accr)*10)	item_fasterattackrate	ln56	item_maxhp_percent	lvl*par7	item_pierce	5+(blvl-1)*5	item_tohit_percent	toht												passive_mastery_noconsume	100																																																								bear_into	bear_undo	45																			1	0		none												SC	SC	SC				1																										6	20								1				(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	8	10	0		1																						1000	base duration	50	Duration per level	40	Damage % baseline	5	Damage % per level	25	Armor % baseline	6	Armor % per level	4	HP %											1	10	3						8	128																																			5	20	0
Homing Harpoon	134	bar	homing harpoon	28	10													hharpoon	hharpoon	hharpoon				clawmastery		25		skill_pierce	(blvl==20)?25:0																																																																																18						hharpoon	hharpoon	hharpoon										1	4		rng		thro	fthr									TH	TH	xx				1																										6	20								1						1	1		1			1	7	5	1	1	1										(ln34+(skill('Grim Ward'.blvl)+skill('Battle Brother'.blvl))*par8)+(stat('ex_attacks'.accr)*10)	Damage %															10	Damage % baseline	5	Damage % per level					5	Cold Dmg Synergy	7	Physical Dmg Syn									1								8	128														cold	18	9	12	24	54	114	36	9	18	30	60	120	(((skill('War Stance'.blvl)+skill('Icy Trail'.blvl))*par7)*(100+(stat('ex_missiles'.accr)*2))/100)	75							5	20	0
Throwing Mastery	135	bar	throwing mastery																																											throwingmastery	thro		passive_mastery_throw_th	ln12	passive_mastery_throw_dmg	ln34	passive_mastery_throw_crit	dm56	skill_pierce	dm78	passive_mastery_noconsume	"min(lvl*10,100)"	attackrate	(blvl==20)?20:0																																																																			1	0		none												SC	SC	xx				1																										1	20								1						0	0					0	8	0	0	1	0							1															44	Attack Rating % baseline	16	Attack Rating % per level	28	Damage % baseline	10	Damage % per level	0	% chance for Critical Hit Min	65	% chance for Critical Hit Max	0	% chance to Pierce Min	65	% chance to Pierce Max	0	% chance for No Consume Min	100	% chance for No Consume Max	1	"Replenish Quantity on crit? (0=disabled, 1=enabled)"			1								8																																				5	20	0
ArreatsWind	136	bar	arreat's wind		8													arreatjav	arreatjav																																																																																										17						arreatjav	arreatjav											1	7		rng		thro	fthr									TH	TH	xx				1																										18	20								1				((blvl==20)?0:(100*60)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	6	0	1	1										3+min(stat('ex_missiles'.accr),3)	# of Missiles created	0	Missile Activation Frame	3+min(stat('ex_missiles'.accr),3)	# of missiles that can trigger item modifier events																					5	Damage synergy									1								8	64														cold	4	7	8	10	15	17	12	13	14	17	21	27	(((skill('War Stance'.blvl)+skill('Homing Harpoon'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)	50	5	5		(blvl==20)?100:0			5	20	0
Icy Trail	137	bar	icy trail												icyjavelin								98304		holywindcold	(75+((lvl-1)*10)+skill('Mountain Storm'.blvl)*10)*(100+(stat('buff_length_modifier'.accr)))/100	(blvl==20)?par3:par4	velocitypercent	"min(ln56,-65)"	coldresist	0-(min(lvl*par2,60))																																																																	1																		icyjavelin													1	3		rng		thro	fthr									TH	TH	xx				1																										1	20								1						1	1			1		1	5	8	1	1	1																						12	Base Duration	4	Cold Res Lost Per Level	10	Explosion Radius	5	Explosion radius per level	-10	Slow by Baseline	-2	Slow By per Level			12	Damage synergy									1	30	9						7	128														cold	12	8	14	24	44	68	22	10	16	28	52	69	(((skill('ArreatsWind'.blvl)+skill('Combat Efficiency'.blvl)+skill('Homing Harpoon'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)	75	10	10	10				5	20	0
