description	*Category	enabled	firstLadderSeason	lastLadderSeason	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Enhance Item		1				100	18	385	0		2	weap,rar	z09						useitem				pierce-cold			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z10						useitem				pierce-ltng			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z11						useitem				pierce-pois			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z12						useitem				pierce-immunity-cold			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z13						useitem				pierce-immunity-fire			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z14						useitem				pierce-immunity-light			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z15						useitem				pierce-immunity-poison			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z16						useitem				pierce-immunity-damage			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z17						useitem				pierce-immunity-magic			10	10	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,rar	z18						useitem				pierce-immunity-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z60						useitem				str			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z61						useitem				dex			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z62						useitem				vit			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z63						useitem				enr			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z64						useitem				move			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z65						useitem				balance			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z66						useitem				blockrate			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z67						useitem				swing			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z68						useitem				cast			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z69						useitem				sum-hp			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z70						useitem				sum-dmg			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z71						useitem				sum-cr			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z72						useitem				incant-dur			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z73						useitem				incant-rad			1	1	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z74						useitem				res-curse-len			3	3	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z75						useitem				block			1	1	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z76						useitem				res-fire			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z77						useitem				res-cold			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z78						useitem				res-ltng			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z79						useitem				res-pois			2	2	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z80						useitem				att%			5	5	levelreq			5	5	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z81						useitem				att			150	150	levelreq			4	4	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z82						useitem				dmg			2	2	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z83						useitem				dmg%			4	4	levelreq			3	3	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z84						useitem				dmg-fire			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z85						useitem				dmg-cold			4	7	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z86						useitem				dmg-ltng			1	14	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100					2	weap,set	Z87						useitem				dmg-pois		50	10	20	levelreq			2	2	Item-Enhanced			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z88						useitem				mag%			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z89						useitem				gold%			10	10	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z90						useitem				lifesteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z91						useitem				manasteal			1	1	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z92						useitem				regen-mana			5	5	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z93						useitem				dmg-ac			-10	-10	levelreq			2	2	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z94						useitem				red-dmg			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	16	384	9		2	weap,set	Z95						useitem				red-mag			5	5	levelreq			5	5	enhancelow			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	Z96						useitem				allskills			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	Z97						useitem				res-all			10	10	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	Z98						useitem				crush			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	Z99						useitem				openwounds			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z00						useitem				deadly			5	5	levelreq			15	15	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z01						useitem				sum-ex			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z02						useitem				ext-att			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z03						useitem				ext-missile			1	1	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z04						useitem				res-fire-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z05						useitem				res-cold-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z06						useitem				res-ltng-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z07						useitem				res-pois-max			5	5	levelreq			25	25	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z08						useitem				pierce-fire			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z09						useitem				pierce-cold			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z10						useitem				pierce-ltng			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
Enhance Item		1				100	18	385	0		2	weap,set	z11						useitem				pierce-pois			10	10	levelreq			10	10	enhancehigh			1	1																																																																					0
